Gene	NLF_SiC_Un_1_S1_R1_001	NLF_SiC_Un_2_S9_R1_001	NLF_SiC_Un_3_S17_R1_001	NLF_SiH_Un_1_S3_R1_001	NLF_SiH_Un_2_S11_R1_001	NLF_SiH_Un_3_S19_R1_001
GLG1	3736	5259	2344	9347	7737	5127
C16orf95	5	8	9	5	7	18
MRTFB	395	529	226	396	129	110
EIF3CL	4	4	6	7	153	194
ZNF469	733	591	592	1014	1046	1484
EIF3C	45	207	41	59	39	60
PIGQ	138	266	172	160	112	172
ATP2A1	7	18	7	3	21	7
FUS	2388	3599	1493	2234	2024	1198
MT1H	0	0	0	0	0	0
MT3	0	0	0	0	0	0
PDIA2	0	3	0	0	2	0
TNFRSF12A	745	739	1608	241	765	1431
HCFC1R1	269	329	386	214	170	165
RRN3	1042	1355	927	737	747	810
GINS3	18	13	19	11	2	4
LMF1	120	249	153	165	216	100
ROGDI	43	74	59	31	12	30
KDM8	26	70	44	51	37	33
OTOA	1	2	0	0	0	1
PYDC1	0	0	0	0	0	0
SULT1A3	1	2	2	2	0	0
HNRNPCP4	0	0	1	2	1	0
RMI2	94	128	84	67	20	21
TNP2	0	2	0	0	0	0
LOC105371083	0	1	1	2	0	0
LOC101927131	0	2	0	0	1	0
SNN	952	1070	728	719	602	544
Metazoa_SRP	1	0	1	1	0	0
CENPN-AS1	0	0	0	0	0	1
ATMIN	1561	1834	1027	1160	839	875
GCSH	7	8	9	5	0	8
PKD1L2	10	64	6	9	4	2
BCO1	1	6	1	0	0	0
PPIAP51	0	2	0	0	0	0
PDXDC2P	0	2	0	0	0	1
MIR1972-2	0	0	0	0	0	0
PDPR	608	765	458	474	225	275
LOC400541	0	0	1	0	0	0
SMG1P7	37	52	31	39	32	38
EXOSC6	282	221	155	358	259	296
RN7SL279P	0	0	0	0	0	3
DDX19B	126	141	91	83	66	58
DDX19A-DT	2	2	3	7	3	0
DDX19A	194	306	257	173	167	197
ST3GAL2	564	723	445	439	226	138
FCSK	89	186	96	78	37	38
SF3B3	2345	2444	1587	3187	1999	2330
SNORD111B	0	0	1	0	2	0
SNORD111	0	0	0	2	0	0
AARS1	1307	1197	766	2728	2272	2137
LOC124900382	0	1	0	0	0	0
TMEM170A	371	334	216	246	61	113
CHST6	0	0	3	5	0	1
GABARAPL2	1152	1642	1284	1044	1029	1399
TERF2IP	918	1418	1114	1494	1288	1808
DUXB	0	0	0	2	0	0
IMPDH1P11	0	0	0	0	0	0
RNU6-633P	0	0	0	0	0	0
GNAO1	6	4	3	3	0	2
AMFR	1815	2814	1814	1664	1689	1832
OGFOD1	532	686	581	609	808	941
KARS1	1251	1689	1298	2310	2270	2875
GAN	271	362	231	279	127	246
RHBDF1	583	1399	890	1041	1270	1082
NPRL3	153	320	237	414	273	292
HBA2	0	0	0	0	0	0
HBA1	0	0	0	0	0	0
HBQ1	1	0	0	0	0	0
DDX28	62	89	98	94	79	110
NFATC3	369	689	342	297	304	331
RPS12P27	0	0	0	0	0	0
ESRP2	0	3	1	3	2	0
PLA2G15	235	507	359	686	735	754
SLC7A6	201	314	222	288	258	245
RNU6-1262P	1	3	1	1	0	1
SLC7A6OS	93	146	96	87	86	82
SMPD3	1	5	0	2	2	1
CDH13-AS2	2	1	4	3	10	2
MLYCD	19	64	23	47	29	16
OSGIN1	70	384	144	249	944	718
HSDL1	860	1399	688	582	515	602
DNAAF1	0	8	2	2	2	2
LOC654780	0	0	0	0	0	0
SLC38A8	0	0	0	0	0	0
ITGAM	0	0	0	0	0	1
ITGAX	8	3	1	7	7	0
ITGAD	0	0	0	0	0	0
COX6A2	0	0	0	0	0	0
ZNF843	11	1	4	121	35	12
ARMC5	93	142	125	141	118	150
TGFB1I1	1328	1104	1046	423	169	129
SLC5A2	2	4	3	3	4	7
RUSF1	436	547	470	1135	915	888
LINC02190	0	0	2	0	0	0
YBX3P1	119	108	99	187	110	130
KRBOX5P1	0	0	1	0	1	0
CDIPT	576	1066	887	732	736	721
ASPHD1	22	77	75	30	47	52
KCTD13-DT	8	12	3	14	3	9
ALDOA	366	591	482	1111	949	787
MRPS34	185	267	414	281	328	477
SPSB3	0	10	5	2	5	6
NUBP2	231	360	447	315	347	421
IGFALS	1	2	1	0	0	0
HAGH	197	503	440	170	226	233
LINC00254	0	0	0	0	0	0
LINC02124	0	0	0	0	0	0
VAC14	458	598	602	772	587	738
VAC14-AS1	3	23	5	10	7	6
RNU6ATAC25P	0	0	0	0	0	0
TEKT5	0	0	0	3	1	0
MTND3P13	0	0	0	1	0	0
MTCO3P24	0	0	0	0	0	0
MTATP6P24	0	0	0	0	0	0
NUBP1	81	124	124	57	70	85
TVP23A	3	11	12	6	3	1
DEXI	26	56	45	24	15	31
COG7	181	269	160	321	336	229
RN7SKP23	3	11	0	7	0	3
GGA2	971	1262	905	1053	550	658
CCNYL7	0	1	0	0	0	0
EARS2	307	252	303	558	394	533
SUB1P4	0	5	0	0	0	3
UBFD1	2350	3052	1934	2976	2570	2590
NDUFAB1	473	511	881	447	543	834
DCTN5	1709	2184	1595	1166	1091	1243
PLK1	13	27	9	43	24	7
JPT2	615	757	712	334	214	420
RPS16P7	0	3	0	0	2	1
ABCA17P	2	1	3	1	1	0
CCNF	33	58	44	33	21	31
TEDC2	8	13	27	8	10	4
MIR6768	0	0	0	0	0	0
TEDC2-AS1	2	9	5	0	3	0
NTN3	24	15	6	3	1	0
ATP6V0C	0	1	3	0	0	1
MIR3178	0	0	0	0	0	0
PDPK1	612	750	627	618	410	466
PDPK2P	8	3	0	21	3	7
TBC1D24	264	415	211	258	319	286
MARF1	1553	2222	870	1446	606	501
NDE1	436	429	316	418	244	187
METRN	204	251	505	169	118	328
ANTKMT	107	134	182	101	73	140
CIAO3	136	210	218	122	102	116
MSLN	0	1	0	0	0	0
MSLNL	0	0	0	0	0	0
SPG7	969	1916	998	1971	1896	1858
CPNE7	323	540	476	367	228	674
CDK10	333	856	548	398	301	462
LINC02166	2	0	3	1	1	4
SPATA2L	80	110	105	48	48	43
VPS9D1	130	237	143	281	257	172
VPS9D1-AS1	7	31	14	25	9	20
CHMP1A	706	975	868	683	726	804
CTF1	64	68	67	37	11	22
PDZD9	2	1	0	0	0	1
USP10	1479	1337	1002	1485	1061	1062
ATP2C2	4	3	2	2	1	0
C16orf46	1	0	2	0	0	0
ZNF200	100	184	85	120	78	77
LUC7L	650	1194	460	714	357	426
ZNF75A	201	284	176	281	253	237
XPO6	2382	3257	1905	1610	1511	1451
ZNF205	40	83	46	67	18	23
LDHD	4	4	0	2	1	1
FLYWCH1	556	1102	973	722	812	993
BRD7	660	982	469	752	614	518
CLEC18C	0	0	0	0	0	0
RPL13	15295	9740	16629	23790	8800	17619
NKD1	0	1	0	3	1	6
MIR3181	0	0	0	0	0	5
ADGRG1	48	154	73	42	169	77
DRC7	0	0	0	0	0	0
KATNB1	181	252	273	168	125	237
MIR6772	0	2	2	0	0	0
LOC388282	0	0	0	0	0	0
CYLD	1450	2453	1684	960	1600	1861
RNU6-1153P	1	0	0	0	0	0
AKTIP	272	330	178	295	180	297
SPIRE2	36	108	55	61	33	23
TCF25	981	1753	1134	1948	1435	1386
MC1R	15	29	39	33	7	13
GAS8	59	115	82	45	25	37
GAS8-AS1	5	6	0	3	0	0
URAHP	6	22	1	5	3	5
TUBB8P7	0	0	0	0	0	0
DBNDD1	72	113	152	29	31	26
HEATR3-AS1	0	0	0	0	0	0
ACTG1P16	2	0	0	0	1	0
LOC124900375	0	0	0	0	0	0
SLC12A3	0	0	0	1	0	0
RPS24P17	0	0	0	2	0	0
HERPUD1	1381	1502	1450	4152	3412	3758
CETP	5	16	4	2	6	0
LOC100130044	0	1	0	0	0	0
CPNE2-DT	0	1	0	0	0	0
CPNE2	260	376	227	178	88	99
PSME3IP1	607	897	532	532	454	457
ARL2BP	25	35	50	32	29	42
PLLP	23	69	17	41	19	22
PHAF1	343	505	336	271	207	213
B3GNT9	340	506	278	982	1075	505
TRADD	91	185	147	134	179	126
FBXL8	57	64	41	94	56	46
NOL3	98	313	155	162	221	147
MATCAP1	322	494	241	338	196	105
EXOC3L1	7	14	2	6	53	2
E2F4	494	645	577	513	503	587
ELMO3	16	18	14	12	14	5
TMEM208	173	327	370	413	661	887
FHOD1	744	686	539	577	248	250
SLC9A5	111	179	108	86	52	35
KCTD19	4	7	0	0	2	1
LRRC36	0	3	1	1	0	1
TPPP3	43	137	85	10	6	13
ZDHHC1	155	178	166	171	82	126
HSD11B2	10	2	1	8	0	0
AGRP	1	0	1	0	0	0
RPL17P40	0	0	0	0	0	0
PKD1P1	0	1	0	0	0	0
NPIPA9	3	5	0	1	1	0
PKD1P2	1	20	13	1	16	3
VPS4A	417	556	463	405	393	520
COG8	82	151	93	90	49	72
PDF	15	17	24	6	19	11
NIP7	391	404	398	402	397	542
TMED6	12	9	7	8	4	12
TERF2	411	585	429	440	398	396
ACSF3	187	376	196	176	119	117
LINC00304	3	15	2	3	1	0
LINC02138	0	0	0	0	0	0
CDH15	4	15	11	6	2	13
LOC105371414	21	110	10	32	20	14
ZNF778	142	179	111	101	52	122
NOMO3	60	61	37	126	73	51
CACNA1H	9	2	9	3	0	5
RPS20P2	0	1	0	0	0	0
UBE2I	1387	2298	1562	1216	938	1013
BAIAP3	9	0	11	31	3	9
TSR3	297	400	573	310	377	529
CEP20	430	531	277	859	1231	980
RNU6-213P	0	0	1	0	0	0
RPL15P20	1	0	0	0	1	0
ZNF48	112	157	137	62	28	34
ZNF771	87	81	145	60	79	185
SEPHS2	854	1068	966	697	531	888
ZNF768	208	308	258	155	126	125
ZNF747-DT	3	4	2	7	3	2
LOC100127965	3	1	1	5	4	1
ZNF764	65	90	62	122	57	78
ZNF785	121	242	108	123	69	63
ZNF689	99	178	123	141	146	98
PRR14	242	415	258	262	236	198
FBRS	816	1188	987	956	591	905
RNU6-1043P	0	0	1	1	0	0
ITGAL	0	1	1	0	0	0
CSNK2A2	523	763	387	533	260	274
DCTPP1	135	207	290	77	56	68
ABCC1	3001	8411	1907	3450	4382	2453
CBLN1	0	0	0	0	0	0
ZNF423	6	2	0	5	4	7
ADCY7	218	237	214	98	89	147
TENT4B	437	457	311	632	506	680
CDH5	1	0	0	0	0	0
LOC107984807	0	0	0	0	0	0
CKLF	0	2	1	1	0	1
CKLF-CMTM1	2	1	0	1	0	1
CMTM2	0	1	0	0	0	0
CMTM3	504	535	470	320	166	227
CMTM4	973	887	708	182	44	146
CLN3	5	19	5	6	1	1
BMERB1	385	729	342	347	251	187
MYH11	8	66	42	20	7	8
NUPR1	573	733	604	897	1076	1226
SULT1A2	0	0	0	0	0	1
BEAN1-AS1	0	2	0	0	0	0
TK2	296	595	378	343	341	387
KCTD5	331	388	379	389	742	681
PRSS27	8	18	10	7	4	3
SRRM2-AS1	2	17	20	26	17	14
SRRM2	7406	13882	5720	10464	5259	4348
PRSS21	0	0	0	0	0	0
EIF1P4	0	0	0	0	0	0
PRSS22	0	0	0	0	0	0
C16orf89	49	292	59	94	319	97
DEF8	470	730	651	420	353	406
TAF1C	235	380	224	371	198	180
WWP2	309	549	329	395	363	361
LDAF1	992	2665	889	449	665	372
AMDHD2	57	132	100	185	173	204
FBXL19	243	341	246	201	150	208
BCL7C	379	301	358	382	178	315
RNF40	720	888	848	902	843	844
TXNDC11	454	524	353	994	1025	960
NMRAL1	143	240	153	290	230	223
HAGHL	91	130	169	117	66	162
CMTM1	18	10	12	35	11	19
LOC124903809	0	0	2	0	0	0
CDH3	0	0	0	1	0	0
CDH3-AS1	0	0	0	0	0	0
HSPE1P5	0	0	0	0	0	1
CDH1	0	2	0	0	0	8
RNA5SP429	0	0	0	0	0	0
SNRPEP3	0	0	0	0	0	0
GP2	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
MMP25	1	10	4	3	0	4
C16orf92	0	0	0	0	0	0
LINC02137	0	0	0	0	0	0
SETD6	113	220	71	122	71	88
CNOT1	4127	4325	2508	4103	2764	2066
SNORA46	0	1	0	0	0	0
SLC38A7	381	1055	780	441	479	710
GOT2	1029	1795	1407	657	475	702
RNU6-1155P	0	0	0	0	0	0
GEMIN8P2	0	0	0	0	0	0
RBL2	1480	1701	600	1804	931	889
RPGRIP1L	190	187	149	295	246	230
TUBB3	32	54	35	31	34	18
ADAT1	342	514	295	206	157	172
CNGB1	0	1	1	0	1	0
RPL7P46	1	1	0	0	0	0
RSPRY1	939	1048	553	956	685	702
LITAF	9932	7394	4880	9754	2526	3436
GRIN2A	49	138	94	19	75	70
LINC01290	0	0	0	0	0	0
EMP2	601	725	466	454	192	285
C16orf82	0	0	0	0	0	0
ZNF319	143	231	164	94	85	90
ZNF688	31	100	69	97	72	66
CENPN	97	124	120	87	81	195
CNEP1R1	370	486	305	243	239	188
ITPRIPL2	1143	1329	945	1661	909	1036
PRDM7	0	0	0	0	0	0
PLEKHG4	701	762	682	152	259	212
GNPTG	517	1243	809	1108	1248	1022
ACSM2B	0	0	0	0	0	4
ACSM3	3	7	0	17	14	4
THUMPD1	1243	1502	656	901	558	478
LOC100887080	1	0	0	0	1	0
RNU6-944P	0	0	0	0	0	0
REXO5	19	103	22	60	90	71
ACSM1	0	0	0	0	0	0
ABAT	170	120	148	39	13	7
TMEM186	50	71	69	67	63	76
CARHSP1	574	631	412	277	98	91
CARHSP1-DT	0	0	2	0	0	0
USP7-AS1	0	0	0	0	0	1
LOC100130664	1	0	0	0	0	0
MRPL28	504	644	908	329	268	467
PGAP6	537	763	1106	1508	1642	2216
LOC100134368	7	24	13	8	7	6
NME4	709	961	1284	436	514	615
DECR2	71	101	92	83	83	97
MT1G	0	1	1	8	15	43
TLE7	0	1	0	0	0	0
ZNF19	29	34	14	33	11	12
CHST4	0	0	1	0	0	0
TAT-AS1	0	5	15	0	0	3
TAT	0	0	0	0	0	0
MARVELD3	1	0	0	2	1	1
PHLPP2	350	467	257	381	238	303
RNU6-208P	0	0	0	0	0	0
AP1G1	2674	3717	2028	2819	2325	2265
SNORD71	0	2	0	2	0	0
PHB1P21	1	2	3	2	4	2
MTCH2P4	0	0	0	0	0	1
LOC124903784	0	0	0	0	0	0
SLC6A2	0	0	0	0	0	0
CES1P2	0	0	1	0	0	0
PPIAP50	0	0	0	0	0	0
CLEC3A	0	0	0	0	0	0
WWOX	81	81	36	38	19	30
WWOX-AS1	0	0	0	0	0	0
LSM3P5	0	0	0	0	0	0
LOC112268165	0	1	0	0	0	0
RPS3P7	0	0	0	0	0	0
ERCC4	306	380	218	342	165	197
RPS26P52	0	0	0	1	0	0
TVP23CP2	7	6	4	12	15	19
ABCC6	30	41	11	9	6	3
PPL	543	1365	201	161	225	45
SEC14L5	6	20	0	2	2	0
ALG1	210	346	312	271	323	402
CCDC78	68	40	41	31	23	20
ERN2	1	0	0	0	0	0
PRKCB	3	0	1	0	1	0
RBBP6	1339	1996	1068	1584	1295	1160
HAPSTR1	1593	2108	1282	1597	1232	1696
RPL21P119	1	2	2	0	1	1
PMM2	393	564	380	637	742	564
NUDT21	931	735	375	593	279	262
BBS2	422	563	256	374	194	199
ATXN1L	674	885	629	626	375	411
IST1	2184	2827	1923	1897	1588	1514
ZNF821	73	92	48	41	16	25
ATP5F1AP3	0	0	1	0	0	1
DHODH	65	67	72	42	19	32
TXNL4B	171	213	176	178	185	194
DHX38	721	955	610	744	656	694
CDH16	0	0	0	0	0	0
RRAD	572	929	1040	336	836	738
CIAO2B	460	578	791	321	442	538
CES2	663	1585	889	1212	2853	1528
CES3	3	37	36	16	71	56
CBFB	1554	1356	945	458	220	262
HSF4	86	232	65	120	85	39
SETD1A	325	426	314	482	289	364
NME3	111	218	237	174	229	213
LOC112694756	25	7	10	6	10	5
TEPP	0	0	0	0	1	0
SOCS1	1090	427	199	435	115	133
DNASE1	181	312	154	233	101	90
ATXN2L	1239	1512	1003	1756	1137	1095
EME2	143	280	118	162	174	165
SPATA33	41	71	50	47	39	23
KCNG4	0	0	0	0	0	0
USP31	234	269	191	174	121	126
C16orf96	1	0	1	1	0	1
PKD1L3	0	1	3	0	2	0
BRICD5	6	7	8	7	4	8
RBFOX1	0	1	0	2	0	0
IL32	444	102	271	98	47	56
ZNF267	147	115	102	249	219	210
HERC2P4	1	0	0	0	0	0
NPIPB9	0	4	0	1	2	0
OR1F1	0	1	12	0	0	0
PRSS33	0	0	0	0	0	0
CHD9	2386	2479	1107	2125	1408	1169
CHST5	0	0	0	0	1	0
SH2B1	289	453	223	542	367	300
SEZ6L2	99	392	188	145	199	109
SLC22A31	1	2	19	1	2	11
NPIPB8	0	1	0	2	0	0
NOMO2	94	246	188	382	597	605
MYL11	1	2	5	0	2	1
CMTR2	630	727	399	546	295	314
CALB2	22	132	253	17	40	80
ZNF23	12	40	15	14	8	14
ZG16	0	0	2	0	0	0
MVP-DT	13	66	7	22	32	8
PRRT2	173	235	43	92	20	30
PAGR1	79	108	54	148	92	91
MVP	2526	4514	3284	2904	2825	2467
KIF22	89	175	108	79	84	75
MAPK8IP3	783	1242	727	1128	601	681
CRISPLD2	904	1188	703	5272	2311	1520
ZDHHC7	1575	2334	1386	2380	1590	1731
CIBAR2	2	2	2	3	3	1
LINC02139	2	2	1	2	1	1
LINC00311	0	1	0	5	1	1
KIAA0513	636	738	415	1275	573	677
CDR2	706	710	369	1780	1656	1759
CDR2-DT	0	1	0	0	0	0
MFSD13B	2	6	4	1	1	3
RRN3P3	30	57	31	20	13	18
OTOAP1	0	0	0	0	0	3
LINC02890	0	0	0	0	0	0
ERI2	165	180	100	195	165	162
DCUN1D3	403	595	319	568	635	609
LYRM1	318	367	298	360	259	390
SRCAP	55	88	56	62	39	30
LMF1-AS1	4	3	1	1	0	0
CEROX1	11	8	7	10	0	3
SOX8	9	14	17	4	0	0
ZG16B	0	37	9	0	11	1
PRMT7	255	412	337	249	250	261
ABCC11	3	4	0	1	0	3
IRX5	2	11	4	2	4	0
MTSS2	489	881	349	1080	655	486
METTL9	2263	2623	1646	3086	1766	2512
ZSCAN32	220	273	133	149	130	120
APOBR	0	0	0	1	0	3
NPIPB4	18	29	15	41	22	15
TBX6	3	9	2	4	3	1
MAZ	151	151	136	270	235	266
CMIP	389	718	488	322	185	256
ATP6V0D1	749	1243	1248	1102	1543	1704
HPR	3	0	0	0	0	0
PDXDC1	1126	1907	872	1960	1881	1446
NPIPB12	5	4	0	1	0	1
CCDC113	18	36	15	46	22	29
SMG1	2361	2776	1266	2868	1714	1434
ANKRD11	1867	2604	1471	3786	2877	2674
HP	0	0	0	1	0	0
SALL1	56	2	38	157	0	59
SEPTIN1	5	25	15	9	9	14
CLEC18A	0	0	0	0	0	0
IL34	183	44	21	47	4	5
NECAB2	3	6	0	7	4	0
TLCD3B	0	2	1	2	0	1
MBTPS1	2378	2733	1270	3594	3038	2631
PSMD7	631	975	645	715	836	1063
PDPR2P	16	36	12	22	9	25
CLEC18B	0	1	0	3	1	6
LOC107984827	1	7	3	12	2	6
RNU6-237P	0	2	0	0	0	0
Y_RNA	0	0	3	0	0	0
RPS10P23	0	0	0	0	1	0
NPIPB15	8	2	7	34	1	11
ABCC12	0	0	0	0	0	0
TMEM231	59	102	40	63	43	54
ELOB	882	1409	2407	1191	1769	2790
RPS2P45	0	3	0	0	0	0
HAS3	18	355	23	13	192	21
CHTF8	11	24	15	20	18	12
Y_RNA	0	3	0	0	0	0
MSRB1	154	218	317	104	123	119
RPL3L	0	3	0	0	0	0
NDUFB10	701	1168	1272	732	715	887
RPS2	7006	9587	11368	14196	8824	13946
RNF151	0	0	0	1	1	1
TBL3	234	410	369	240	253	323
NOXO1	0	0	0	1	0	0
SYNGR3	38	147	88	20	17	20
NPW	5	7	1	12	6	3
RN7SL219P	0	1	0	0	0	0
NHERF2	985	934	1418	1604	422	1227
NTHL1	111	150	184	122	48	78
MIR1225	0	0	0	0	0	0
ZNF598	268	404	450	521	423	597
TSC2	1202	1886	1069	1524	600	840
UQCC4	48	81	102	51	70	141
PERCC1	0	0	0	0	2	0
CCDC154	4	11	5	26	16	7
ARHGAP17	1268	1971	881	1560	1078	942
CYB5B	1133	1799	1193	832	806	838
SLC5A11	1	0	0	1	0	0
ZNF747	62	121	74	97	86	64
MOSMO	269	261	210	411	198	271
VWA3A	3	4	1	3	0	7
SDR42E2	0	0	0	3	0	4
EEF2K	536	1080	343	581	496	306
KRBOX5	170	237	131	252	108	127
POLR3K	90	135	149	71	69	131
SNRNP25	195	179	287	46	32	51
MPG	325	462	562	644	582	797
TMEM219	457	912	648	964	1229	1063
DPEP1	1	1	1	0	0	0
ATF7IP2	22	86	25	17	22	7
NLRC5	221	1034	271	167	580	94
HEATR3	254	379	234	270	228	290
NDRG4	142	235	257	35	27	39
SNTB2	2661	2547	1271	865	369	399
NFATC2IP	511	985	432	514	311	219
FAM157C	0	5	1	7	0	0
SSTR5-AS1	1	0	0	0	0	0
CLUHP3	69	57	49	45	9	9
LOC112267895	0	0	0	0	0	0
MIR762HG	9	26	11	19	9	18
LOC105371354	0	0	1	0	0	0
MAPK8IP3-AS1	0	0	1	0	3	0
CDH13	946	3555	1591	1783	4280	1896
LOC101928446	0	2	0	1	1	0
LOC101928417	0	0	0	0	1	0
CDH13-AS1	0	0	0	0	0	0
HSBP1	1311	1860	1262	473	431	618
VPS35L	926	1431	689	671	428	431
KNOP1	258	297	232	168	125	176
CCP110	350	535	236	320	330	234
LARP7P2	0	0	0	0	0	0
GPRC5B	218	98	78	206	37	33
IQCK	70	104	51	68	56	48
CENPBD1P	107	111	95	188	154	167
PARD6A	3	8	12	2	5	0
ENKD1	105	142	91	60	39	35
C16orf86	12	17	8	2	2	0
GFOD2	229	322	295	167	121	203
NPIPB6	2	6	0	1	1	0
CIITA	17	94	31	22	14	9
ATP6V0D1-DT	9	50	9	9	1	4
RIPOR1	927	1369	998	740	447	536
CTCF-DT	0	1	0	2	2	1
CTCF	1001	1164	677	742	456	475
RANBP10	323	462	233	396	211	227
TSNAXIP1	15	12	11	19	4	4
CENPT	248	461	338	273	379	472
THAP11	257	339	250	199	135	148
EDC4	457	637	452	625	549	431
PSKH1	316	390	385	388	382	608
CTRL	0	1	0	0	0	0
PSMB10	115	254	194	145	206	128
LCAT	144	235	90	296	164	125
SLC12A4	1428	2137	1572	2999	2342	2445
DPEP2	0	0	0	0	2	0
DUS2	77	119	93	66	68	62
NPIPA2	0	24	4	2	0	17
ABCC6P2	0	0	0	0	0	0
NOMO1	278	657	413	711	951	677
ZFPM1	77	124	99	136	96	180
ZFPM1-AS1	1	5	0	2	0	0
ZC3H18	462	646	405	667	487	538
IL17C	0	0	0	0	0	0
CYBA	232	659	756	262	302	494
MVD	111	203	175	235	191	562
SNAI3	2	6	2	13	2	6
RNF166	147	174	184	105	86	111
CTU2	110	123	139	124	161	167
MIR4722	0	0	0	0	0	0
LOC339059	0	0	0	0	0	0
RN7SL274P	0	0	0	0	0	0
BFAR	1272	1629	1273	1272	1167	1425
PLA2G10	1	2	0	5	1	4
NPIPA3	0	1	0	0	8	0
LOC400499	8	1	3	39	9	6
CARMIL2	6	8	25	7	3	3
CORO1A	14	4	11	8	2	0
ZNF276	117	176	107	195	153	138
CDT1	10	20	19	13	6	17
APRT	400	510	641	523	481	753
GALNS	360	758	386	670	592	397
CBFA2T3	0	0	0	2	0	0
LOC101927793	0	0	0	1	0	0
TRAPPC2L	258	430	631	438	367	740
FANCA	34	42	19	27	12	4
LOC388248	14	9	15	6	2	0
IL21R-AS1	0	2	0	0	0	0
GTF3C1	1382	1861	1571	1170	814	961
KATNIP	347	510	266	322	160	201
Y_RNA	0	0	0	0	0	0
GFER	59	93	130	66	42	75
EIF4BP5	2	3	1	3	7	2
NDUFA5P11	39	42	45	35	19	39
EMC8	385	633	583	323	417	622
RNU1-103P	5	3	0	0	0	1
LOC101928557	0	0	0	0	0	3
COX4I1	3081	4329	4362	3692	3404	4634
LOC100422319	0	0	0	0	0	0
RPL10AP12	0	0	0	0	0	1
IRF8	0	0	0	0	0	0
LINC01082	0	0	0	0	0	0
LAT	3	8	2	7	2	6
MEIOB	0	0	1	0	0	0
MEFV	0	1	2	2	2	0
NSMCE1	476	675	511	518	425	454
NSMCE1-DT	1	0	0	5	3	1
IL4R	798	1566	975	808	535	584
IL21R	4	49	13	11	50	18
NPIPB3	7	18	12	11	13	13
LOC646828	0	0	0	0	0	0
MCRIP2	31	85	95	155	154	188
WDR90	135	174	102	267	88	117
RHBDL1	17	52	32	33	49	29
STUB1-DT	0	0	0	0	2	0
STUB1	384	613	720	349	598	707
JMJD8	115	194	150	105	159	114
WDR24	56	100	85	76	52	62
FBXL16	18	26	80	3	1	18
RHOT2	466	855	665	735	809	715
NPIPB13	1	13	1	12	3	0
BCLAF1P2	32	51	23	30	32	29
PALB2	191	230	143	194	133	165
CYLD-AS1	4	20	21	2	28	16
MIR193BHG	80	94	38	58	50	86
MIR365A	3	0	0	0	0	0
PARN	504	679	258	295	219	162
SDR42E1	14	49	18	6	8	5
HSD17B2	5	1	0	16	0	12
MPHOSPH6	238	300	371	352	212	639
MPHOSPH6-DT	0	1	0	0	0	0
SLC9B1P5	0	0	0	0	0	1
ABCD1P3	0	0	0	0	0	0
HERC2P5	0	0	0	0	1	0
SLC6A10P	0	0	0	0	0	1
HERC2P8	0	0	0	0	0	0
PLCG2	1	0	0	0	1	2
KCTD13	78	193	97	155	153	176
SLX4	109	138	76	102	59	60
LINC01571	0	0	0	0	0	4
HNRNPA1L3	58	53	25	93	43	46
BCAR4	1	0	0	0	0	0
RSL1D1	2529	2552	2095	3832	2427	3267
GSPT1	2765	3033	2242	2228	1700	2178
COX6CP1	83	7	22	84	7	8
TNFRSF17	0	0	2	0	0	0
RPS23P6	0	0	0	0	0	0
LOC107984888	1	2	0	1	0	2
DNAH3	0	13	5	0	7	0
MMP15	36	91	114	55	122	70
KIFC3	349	372	623	442	275	578
USB1	469	774	817	351	332	424
NPIPB11	23	87	21	45	28	19
SULT1A1	0	0	2	2	0	1
ACD	82	144	115	105	61	85
NOD2	1	2	4	0	3	0
PHKB	1295	2048	936	1840	1651	1603
RPS3AP2	0	0	0	0	0	0
PTX4	1	0	0	0	0	5
TELO2	154	219	192	160	157	144
CLCN7	613	1046	726	1275	1051	1197
CHD9NB	38	67	23	40	58	94
CES4A	3	40	21	21	15	2
FAHD1	325	504	340	277	328	375
NUDT16L1	149	150	255	177	180	244
TP53TG3D	0	0	0	0	0	0
NPIPB5	41	86	38	81	57	30
NPIPA7	1	1	1	1	1	2
PRSS53	11	28	17	42	11	6
PABPN1L	0	0	0	0	0	0
CPHXL2	0	2	4	2	0	0
DOK4	307	372	409	175	133	208
NPIPB2	8	9	26	46	1	71
NPIPB7	1	2	0	0	0	0
NQO1	888	7607	2659	4580	31455	21618
NQO1-DT	1	4	8	4	5	9
NOB1	271	480	477	546	391	598
SNORA62	0	0	2	0	0	0
NFAT5	2118	2816	1401	2392	1069	800
CA5A	0	0	0	0	0	0
LOC400553	2	2	0	0	0	2
LINC02182	2	0	2	0	2	3
BANP	131	173	110	128	130	145
LINC00920	7	0	2	18	7	1
BEAN1	0	8	3	2	0	0
USP7	2816	3445	1789	2693	1824	1838
BOLA2-SMG1P6	0	0	0	0	0	1
NUTF2	1115	1397	1485	1123	1151	1523
RSL1D1-DT	0	4	0	0	0	5
SMG1P5	8	8	4	65	2	10
AFG3L1P	141	265	136	120	72	74
CD2BP2-DT	5	3	5	8	8	4
TMEM231P1	2	9	2	0	1	0
LOC102724859	0	0	0	0	0	0
ABCC6P1	6	2	0	0	0	2
SMG1P1	0	3	5	4	6	8
RRN3P1	85	117	62	111	53	89
LINC02185	0	1	0	0	0	0
FOXC2-AS1	0	3	2	0	0	0
LINC01569	1	25	4	21	13	9
LINC01572	3	8	3	2	0	2
